date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector
2445797.94968502,1984.26625597,0.586434364319,0.09870697444379005,1.1912087038047343,0.3705374779398733,Grasse,5
2445797.96240352,1984.26629072,0.327646374702,0.09870697444379005,1.193901965046038,0.36803458887395524,Grasse,5
2445797.9913285,1984.26636975,0.532489061356,0.09870697444379005,1.2000301952456964,0.362329611162288,Grasse,5
2445798.0218163,1984.26645305,0.663986563683,0.09870697444379005,1.2064942014960622,0.35629730626680967,Grasse,5
2445798.04460712,1984.26651532,0.491077780724,0.09870697444379005,1.2113294363995015,0.3517752476539036,Grasse,5
2445798.07269762,1984.26659207,0.550137042999,0.09870697444379005,1.217292740900077,0.3461868691562053,Grasse,5
2445798.08972028,1984.26663858,0.522128939629,0.09870697444379005,1.2209084600476618,0.342792470382046,Grasse,5
2445798.1058645397,1984.26668269,0.736269712448,0.09870697444379005,1.2243389959467885,0.3395677759165983,Grasse,5
2445798.12219546,1984.26672731,0.707786083221,0.09870697444379005,1.2278105793849345,0.3363004287939119,Grasse,5
2445799.00454094,1984.26913809,0.0913645029068,0.09870697444379005,1.4175123701198453,0.15268440222135943,Grasse,5
2445799.01520984,1984.26916724,0.324054598808,0.09870697444379005,1.419832570035609,0.1503909977347421,Grasse,5
2445799.02535536,1984.26919496,0.449174284935,0.09870697444379005,1.4220395500630212,0.14820875409323972,Grasse,5
2445799.0402405798,1984.26923563,0.333790063858,0.09870697444379005,1.4252786307340395,0.1450046736346589,Grasse,5
2445799.0511364,1984.2692654,0.187757253647,0.09870697444379005,1.4276504043041145,0.14265756176256292,Grasse,5
2445799.07349534,1984.26932649,0.471668958664,0.09870697444379005,1.4325195637737949,0.13783653147721775,Grasse,5
2445799.09036428,1984.26937258,0.328190565109,0.09870697444379005,1.4361950458213975,0.13419520910530794,Grasse,5
2445799.1251416,1984.2694676,0.668186306953,0.09870697444379005,1.4437776355615246,0.12667741872565935,Grasse,5
2445799.13777592,1984.26950212,0.402068376541,0.09870697444379005,1.4465340488595209,0.12394273341393416,Grasse,5
2445799.1527014,1984.2695429,0.928614020348,0.09870697444379005,1.4497915044760497,0.12070974296191492,Grasse,5
2445799.1625102,1984.2695697,0.0453546047211,0.09870697444379005,1.4519329532394856,0.11858367765270028,Grasse,5
2445799.1738745,1984.26960075,0.491711854935,0.09870697444379005,1.4544146906827802,0.11611908854358031,Grasse,5
2445800.01965658,1984.27191163,0.165170550346,0.09870697444379005,1.6412442546712882,-0.07038967120708181,Grasse,5
2445802.04535312,1984.27744632,0.176946282387,0.09870697444379005,2.1060522647201787,-0.5100611980960837,Grasse,5
2445802.06195122,1984.27749167,0.141256928444,0.09870697444379005,2.1099573850102704,-0.5134162431552493,Grasse,5
2445802.07632038,1984.27753093,0.336617469788,0.09870697444379005,2.1133392468197365,-0.5163154115693358,Grasse,5
